"subclass","prep_of","clt",-3.38
"subtype","nsubj","clt",2.07
"subtype","prep_of","clt",-4.42
"subtype","prep_such_as","clt",-2.21
"supertype","prep_of","clt",1.11
"supertype","prep_such_as","clt",-2.21
"supply","dobj","clt",1.11
"tag","prep_such_as","clt",-3.61
"tag","prep_to","clt",-1.81
"take","dobj","clt",-2.55
"take","nsubj","clt",2.22
"tell","dobj","clt",1.11
"tell","nsubj","clt",1.75
"text","prep_of","clt",1.11
"throw","dobj_MD","clt",1.57
"throw","nsubjpass","clt",-2.55
"throw","nsubjpass_MD","clt",-2.85
"type","prep_of","clt",1.11
"use","agent","clt",1.36
"use","dobj","clt",1.42
"use","dobj_MD","clt",2.68
"use","dobj_MD_neg","clt",-2.85
"use","dobj_TO","clt",2.9
"use","nsubj","clt",2.12
"use","nsubj_VBZ","clt",1.11
"use","nsubjpass","clt",2.71
"use","nsubjpass_MD","clt",1.75
"use","prep_as","clt",-1.81
"use","prep_of","clt",1.29
"value","prep_of","clt",2.71
"want","dobj","clt",1.36
"work","dobj","clt",-2.21
"write","prep_to","clt",-1.81
