id,url,file_path,xpath,index_from,index_to,title,text_content,page_id,word_count,number,parent_id,_order
1,http://commons.apache.org/math/userguide/fraction.html,math/doc/manual3.1/math/userguide/fraction.html,/html/body/div[4]/div/div,0,0,9 Fractions,,2,2,"",,0
2,http://commons.apache.org/math/userguide/random.html,math/doc/manual3.1/math/userguide/random.html,/html/body/div[4]/div/div,0,0,2 Data Generation,,4,3,"",,0
3,http://commons.apache.org/math/userguide/optimization.html,math/doc/manual3.1/math/userguide/optimization.html,/html/body/div[4]/div/div,0,0,12 Optimization,,1,2,"",,0
4,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div,0,0,5 Special Functions,,3,3,"",,0
6,http://commons.apache.org/math/userguide/fraction.html,math/doc/manual3.1/math/userguide/fraction.html,/html/body/div[4]/div/div/div[1],0,0,9.1 Overview,,2,16,"",1,1
9,http://commons.apache.org/math/userguide/fraction.html,math/doc/manual3.1/math/userguide/fraction.html,/html/body/div[4]/div/div/div[2],0,0,9.2 Fraction Numbers,,2,217,"",1,2
13,http://commons.apache.org/math/userguide/fraction.html,math/doc/manual3.1/math/userguide/fraction.html,/html/body/div[4]/div/div/div[3],0,0,9.3 Fraction Formatting and Parsing,,2,204,"",1,3
5,http://commons.apache.org/math/userguide/optimization.html,math/doc/manual3.1/math/userguide/optimization.html,/html/body/div[4]/div/div/div[1],0,0,12.1 Overview,,1,382,"",3,1
8,http://commons.apache.org/math/userguide/optimization.html,math/doc/manual3.1/math/userguide/optimization.html,/html/body/div[4]/div/div/div[2],0,0,12.2 Univariate Functions,,1,51,"",3,2
11,http://commons.apache.org/math/userguide/random.html,math/doc/manual3.1/math/userguide/random.html,/html/body/div[4]/div/div/div[1],0,0,2.1 Overview,,4,207,"",2,1
7,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div/div[1],0,0,5.1 Overview,,3,17,"",4,1
12,http://commons.apache.org/math/userguide/optimization.html,math/doc/manual3.1/math/userguide/optimization.html,/html/body/div[4]/div/div/div[3],0,0,12.3 Linear Programming,,1,24,"",3,3
10,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div/div[2],0,0,5.2 Erf functions,,3,23,"",4,2
15,http://commons.apache.org/math/userguide/random.html,math/doc/manual3.1/math/userguide/random.html,/html/body/div[4]/div/div/div[2],0,0,2.2 Random numbers,,4,585,"",2,2
18,http://commons.apache.org/math/userguide/random.html,math/doc/manual3.1/math/userguide/random.html,/html/body/div[4]/div/div/div[3],0,0,2.3 Random Vectors,,4,429,"",2,3
17,http://commons.apache.org/math/userguide/optimization.html,math/doc/manual3.1/math/userguide/optimization.html,/html/body/div[4]/div/div/div[4],0,0,12.4 Direct Methods,,1,505,"",3,4
14,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div/div[3],0,0,5.3 Gamma functions,,3,13,"",4,3
