"file_path";"xpath";"content";"simple_name";"fqn";"kind";"abstract";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/muc.html";"/html/body/div[10]/blockquote/pre";"M!M:zzzsnippet.MultiUserChat:addUserStatusListener:UNKNOWNP.UNKNOWN";"addUserStatusListener";"org.jivesoftware.smackx.muc.MultiUserChat.addUserStatusListener";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/messaging.html";"/html/body/div[2]/p[3]/tt[3]";"Chat.sendMessage(Message)";"Chat";"org.jivesoftware.smack.Chat";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/messageevents.html";"/html/body/div[4]/blockquote/pre";"M!M:UNKNOWNP.UNKNOWN:deliveredNotification:java.lang.String:java.lang.String";"deliveredNotification";"org.jivesoftware.smackx.MessageEventNotificationListener.deliveredNotification";"method";"t";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/messageevents.html";"/html/body/div[4]/blockquote/pre";"M!M:UNKNOWNP.UNKNOWN:cancelledNotification:java.lang.String:java.lang.String";"cancelledNotification";"org.jivesoftware.smackx.MessageEventNotificationListener.cancelledNotification";"method";"t";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/processing.html";"/html/body/div[1]/p[2]/tt[1]";"org.jivesoftware.smack.filter.PacketFilter";"PacketFilter";"org.jivesoftware.smack.filter.PacketFilter";"class";"t";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html";"/html/body/div[4]/blockquote[5]/pre";"M!M:zzzsnippet.Node:subscribe:UNKNOWNP.UNKNOWN";"subscribe";"org.jivesoftware.smackx.pubsub.Node.subscribe";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/rosterexchange.html";"/html/body/div[5]/blockquote/pre";"M!M:zzzsnippet.Roster:createEntry:UNKNOWNP.UNKNOWN:UNKNOWNP.UNKNOWN:UNKNOWNP.UNKNOWN";"createEntry";"org.jivesoftware.smack.Roster.createEntry";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/privacy.html";"/html/body/div[4]/p[2]/tt[3]";"PrivacyListListener";"PrivacyListListener";"org.jivesoftware.smack.PrivacyListListener";"class";"t";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/disco.html";"/html/body/div[5]/blockquote/pre";"M!M:zzzsnippet.Iterator:next";"next";"org.jivesoftware.smack.util.collections.AbstractHashedMap.KeySetIterator.next";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/xhtml.html";"/html/body/div[5]/blockquote/pre";"M!M:zzzsnippet.chat:sendMessage:zzzsnippet.Message";"sendMessage";"org.jivesoftware.smack.Chat.sendMessage";"method";"f";
