"file_path";"xpath";"content";"simple_name";"fqn";"kind";"abstract";;;
"smack/extensions/filetransfer.html";"/html/body/div[3]/p[4]/b[3]/i";"FileTransferRequest";"FileTransferRequest";"org.jivesoftware.smackx.filetransfer.FileTransferRequest";"class";"f";;;
"smack/roster.html";"/html/body/div[3]/p[2]/tt[1]";"Roster.getPresence(String user)";"Roster";"org.jivesoftware.smack.Roster";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[4]/p[4]/i[2]/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[9]/p[4]/i[1]/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[2]/p[3]/i[2]/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/extensions/rosterexchange.html";"/html/body/div[2]/p[3]/i/b";"RosterExchangeManager";"RosterExchangeManager";"org.jivesoftware.smackx.RosterExchangeManager";"class";"f";;;
"smack/roster.html";"/html/body/div[5]/tt[2]";"Presence.Type.subscribe";"subscribe";"org.jivesoftware.smack.packet.Presence.Type.subscribe";"enumeration value";"f";;;
"smack/extensions/dataforms.html";"/html/body/div[2]/p[3]/b[3]";"addField(FormField field)";"addField";"org.jivesoftware.smackx.Form.addField";"method";"f";;;
"smack/extensions/dataforms.html";"/html/body/div[3]/p[4]/i[4]/b";"FormField";"FormField";"org.jivesoftware.smackx.FormField";"class";"f";;;
"smack/privacy.html";"/html/body/div[3]/ol/li[2]/div/pre/font[3]/i/tt";"PrivacyItem";"PrivacyItem";"org.jivesoftware.smack.packet.PrivacyItem";"class";"f";;;
"smack/extensions/rosterexchange.html";"/html/body/div[4]/p[3]/b";"send(RosterEntry";" String)";"send";"org.jivesoftware.smackx.RosterExchangeManager.send";"method";"f";;
"smack/extensions/messageevents.html";"/html/body/div[3]/ul/li[3]/i/b";"addMessageEventRequestListener(MessageEventRequestListener)";"addMessageEventRequestListener";"org.jivesoftware.smackx.MessageEventManager.addMessageEventRequestListener";"method";"f";;;
"smack/extensions/pubsub.html";"/html/body/div[2]/p[3]/i/b";"PubSubManager";"PubSubManager";"org.jivesoftware.smackx.pubsub.PubSubManager";"class";"f";;;
"smack/processing.html";"/html/body/div[2]";"Packet";"Packet";"org.jivesoftware.smack.packet.Packet";"class";"t";;;
"smack/extensions/pubsub.html";"/html/body/div[5]/p[3]/i/b";"LeafNode";"LeafNode";"org.jivesoftware.smackx.pubsub.LeafNode";"class";"f";;;
"smack/roster.html";"/html/body/div[1]/p[2]/tt[2]";"Connection.getRoster()";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;;
